word
repaid
tossed
loaned
fed
took
sang
awarded
flew
lent
rented
handed
dropped
lobbed
offered
quoted
passed
forwarded
taught
sold
gave
lifted
snuck
pitched
bequeathed
emailed
mailed
reimbursed
read
wired
refunded
showed
granted
extended
cited
faxed
phoned
delivered
tipped
presented
promised
traded
bounced
assigned
yielded
reported
conceded
provided
told
smuggled
owed
pushed
guaranteed
